iso2c	Country	Year	AG.YLD.CREL.KG	EG.IMP.CONS.ZS	EG.USE.COMM.FO.ZS	FI.RES.TOTL.CD	MS.MIL.MPRT.KD	NY.GDP.PCAP.CD	SH.DYN.MORT	TX.VAL.MRCH.CD.WT	GDPPCKD	AG.PRD.CREL.MT	SP.POP.DPND	SP.POP.TOTL	EN.URB.LCTY.UR.ZS	SP.URB.TOTL.IN.ZS	SP.DYN.TFRT.IN	AG.LND.AGRI.ZS	EN.ATM.CO2E.PC	EG.USE.ELEC.KH.PC
CN	China	1994	4504.878	-1.3705387063412	77.043148731556	57781339993.1363	2.68e+08	469.213194175981	49.3	1.21006e+11	709.19162257425	393891055	53.537893656687	1191835000	2.69396866112161	30.0572	1.865	56.1900289683535	2.56599389177193	727.009191708584
CN	China	1995	4659.258	-1.91917871641936	78.4239826129662	80288434062.0934	6.76e+08	604.228060585225	47.4	1.4878e+11	777.99444067318	416113700	53.1568494958649	1204855000	2.72649449292235	30.961	1.746	56.3441572643415	2.75575496636525	770.183134070075
CN	China	1996	4895.175	-1.63695837859756	78.9827660330957	111728906872.272	1.372e+09	703.120799402286	45.5	1.51048e+11	846.87079873435	451374950	52.5731091589377	1217550000	2.7561584084174	31.9442	1.656	56.2931252599845	2.84430958153669	820.985585807564
CN	China	1997	4822.71	-0.696059603817963	78.9179068769706	146448005965.839	8.35e+08	774.467161009806	43.5	1.82792e+11	916.2047373631	443493425	51.8008302939658	1230075000	2.78907220503957	32.9274	1.591	56.1981371174208	2.82056789057578	852.646383350609
CN	China	1998	4952.828	-0.0715139315271764	78.9768264987368	152842972623.563	3.82e+08	820.863076832644	41.4	1.83712e+11	978.23685185798	456247778	50.8072681219667	1241935000	2.82690788554882	33.9106	1.546	56.3554143241261	2.67674598026467	870.523819684605
CN	China	1999	4944.929	2.25333469306177	79.3880694008682	161414044709.396	1.833e+09	864.730314360081	39.3	1.94931e+11	1043.50839167324	453040320	49.5631489300811	1252735000	2.87035562587273	34.8938	1.52	56.2960199325005	2.64864924664833	913.870850578933
CN	China	2000	4752.581	2.71685417743426	80.2862200752722	171763102729.31	2.116e+09	949.178062082992	36.9	2.49203e+11	1122.28504590472	405224140	48.0726991749086	1262645000	2.9192708414123	35.877	1.51	56.2891584865366	2.69686243322549	993.338586855371
CN	China	2001	4800.278	-0.173265507833343	80.2780409254827	220056778197.421	3.364e+09	1041.63770441353	34.3	2.66098e+11	1206.63800977681	396481872	46.3345931291557	1271850000	2.89350665129226	37.206	1.514	56.1886664852673	2.74212081298895	1077.04682155915
CN	China	2002	4885.294	0.813924628451845	81.0833958547135	297739464635.059	2.906e+09	1135.44794963606	31.6	3.25596e+11	1307.65139412175	397986773	44.4193395827781	1280400000	2.84775051847161	38.535	1.527	56.0919570297981	2.88522504139331	1195.44751640112
CN	China	2003	4872.897	2.03281621643692	83.0592517398361	416199410848.774	2.295e+09	1273.64074260717	28.9	4.38228e+11	1429.48504310527	374287200	42.4848675325134	1288400000	2.80737844592135	39.864	1.546	55.8922247760838	3.51224542766222	1380.20102452654
CN	China	2004	5186.711	4.68578210667665	84.7455356194711	622948552457.504	3.207e+09	1490.38005604805	26.3	5.93326e+11	1564.5430480644	411571992	40.7167736296052	1296075000	2.771558509343	41.193	1.566	56.5264945931852	4.08013890554173	1586.77699978782
CN	China	2005	5224.62	4.18349922543637	85.5610108762727	831409627748.453	3.602e+09	1731.125234579	23.9	7.61953e+11	1731.125234579	427760000	39.2366417403561	1303720000	2.73901072465284	42.522	1.585	56.1471856088156	4.4411506949345	1783.8707697972
CN	China	2006	5424.281	6.46563506349397	86.4790961050999	1080755680184.47	2.934e+09	2069.34363068319	21.8	9.68978e+11	1940.11473498508	450992008	38.0698084064447	1311020000	2.70966538859118	43.8628	1.602	56.1467531571145	4.89272709798477	2041.96732315296
